ID,Tweet_ID,Isi_Tweet,Tanggal_Tweet,Kandidat,Aplikasi,Lokasi User,Sentimen
133343972,patih_patria, Gak setuju Jokowi jadi Cawapres.. CAPRES JOKOWI harga mati...,8/1/2013 0:33,Jokowi,web,BLITAR - INDONESIA,1
921720487,RintisBautista,"capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",8/1/2013 4:11,Jokowi,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Android</a>",Didalam hatinya recha  :love,1
-116006035,Franliiiii,capres ( Prabowo ) and cawapres ( jokowi ) and gubDKI (Ahok) mantap lanjutkan !!! buat pak presiden (SBY) bubarkan saja FPI,8/1/2013 7:33,Prabowo,web,Manado,1
-1035835265,sabotase_dunia,"jd skenarionya gini. 2014 biar Prabowo jd presiden, Jokowi tetepgubernur. kalo Jakarta berhasil gak usah nunggu 2019 buat gantiin Prabowo",8/1/2013 9:16,Jokowi,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",Jakarta the Garden City,1
-494262702,gusti_primus,"SBY mantan TNI, dan Calon Presiden Prabowo subianto adalah Mantan KOPASSUS.. Krn anggoto TNI disiplin.. Maka dari itu, smw presiden TEGAS!!!",8/1/2013 10:50,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Indonesia,1
-1509470293,Its_Daviid," mohon untuk pak Presiden Prabowo Subiyanto, tolong jangan jadikan kami ""Perangkat Desa"" sebagai tumbal kebijakan pemerintah.",8/1/2013 11:48,Prabowo,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Klaten,Jawa tengah",-1
-1288633949,lukmantalibo,Saat jd Meneg BUMN Dahlan Iskan bs sedikit ambil bag dlm kep strategis PLN. Saat jd presiden Jokowi bs jg melakukan hal yg sm utk Jakarta,8/1/2013 15:33,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Andromeda,1
-1802779419,TrioMelayu9999,5. jadi capres  (Jokowi) maupun DPD bisa menggunakan cara tersebut untuk mendapatkan FotoCopy KTP dukungan ,8/1/2013 15:38,Jokowi,web,Jakarta,1
-912539188,muthma_indra,"Pagi pak capres , cari lagi Masalah hari ini dan tuntaskan segera! :D",8/1/2013 23:12,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Lubuk Pakam,1
-2019893968,HarriesSieregar," Setuju Pak, cuma capres jk terpilih harus tunduk pd keinginan rakyat bukan pd keinginan DPR, Ketum/Elit partai. ",8/1/2013 23:22,JK,web,Ada dipelupuk Matamu,0
783660534,herumurti54,  bung saya dukung anda jadi capres. Jokowi jadi wapresnya ya...,8/2/2013 6:36,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1
-1018328211,BBHesti, Prabowo dgn 6 Program Aksinya cukup bagus sbg Presiden. Jokowi jangan diganggu sbg Gubernur DKI. DKi semrawut Indonesia hanyut!,8/2/2013 10:00,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
-2090873041,DarsonoDodi, tong di pilih jadi presiden ARB na,8/2/2013 10:50,Aburizal,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Cikampek,1
-291798381,MaulanaSitorus,prabowo subianto vs joko widodo no prabowo subianto presiden&jokowi wapres yes.. aminin yaaaaa ALLAH,8/2/2013 11:07,Jokowi,web,,1
-155510907,chamadhojin,"DKI Ahok, Jateng Ganjar, Jatim Khofifah, dan presiden Jokowi. Kombinasi paten cc ",8/2/2013 16:31,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,1
471158068,NickyYuventius,"Gila ya? Presiden Jokowi, Gubernur Ahok. Gila ya? Indonesia baru beneran.",8/2/2013 17:12,Jokowi,web,Jakarta,1
-553452938,che_udin,"ia kritik UU tenaga kerja yg batasi pesangon 9 thn masa kerja. ""UU saat presiden Megawati itu mas, sebelumnya selama masa kerja.""",8/2/2013 17:36,Megawati,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",B - Jogja,0
1431339596,sujana64," capres Mahfud MD, wapres Pramono EW cocok. Yg lainnya maaf gak cocok.",8/2/2013 20:49,Mahfud,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Serang-Banten-Indonesia.,1
-1275638864,PanjiBuana3,"Jokowi butuh dukungan Rakyat.rakyat butuh Jokowi jadi Presiden,jokowi dan Rakyat Cinta tanah air !",8/2/2013 21:06,Jokowi,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Majalaya Bandung,1
-175283195,kkamjongrowl," rp presiden,jokowi carsen doang. bsoknya jadi rp kpop juga dianya",8/2/2013 23:28,Jokowi,web,,-1
15660197,fallenokta,"Apa komposisi ini udah bagus; prabowo sbg presiden, jokowi wapres; ahok mjd gub DKI;",8/3/2013 2:32,Jokowi,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",Middle earth /,1
212557534,JGA_Wibowo,Amin Rais usul pasangan Capres Jokowi - Hatta ditolak sama  ya? Ya...emang gak level di mata rakyat.,8/3/2013 3:38,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,-1
2057365148,JGA_Wibowo,"Stkh pas capres Jokowi-Hatta ditolak , trus Amin Rais bilang Jokowi hrs setia pd sumpah jabatan gub DKI utk 5 tahun ke depan.",8/3/2013 3:43,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",In God's hands,-1
-156402708,Mila_Mulyani03, mantan wakil presiden? Jusuf kalla? :D,8/3/2013 3:45,JK,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",Hogwarts School | Death Note |,-1
585496427,evandersamuelps,"Prabowo presiden & Jokowi wakilnya, mantep banget.",8/3/2013 3:50,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,1
-1723627625,HartoyoMdn,"Supir taxy blue bird bilang, akn pilih Prabowo klau Jokowi tdk jdi calon Presiden.  tetap pilihan rakyat.",8/3/2013 5:22,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","?: -6.2590225,106.8430827",1
-13071843,DonyWenas,"You Are The Next Presiden : Prabowo Subianto, Pemimpin yang Murah senyum, Lemah Lembut, dan Berani Tegas Dalam Aturan Dan Keputusan. Donjon",8/3/2013 5:27,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1
606291014,TheJatnika,Merananya Nasib Korban Lumpur Lapindo saat Berlebaran Nanti. >Tenang tuh di TVOne dan antv byk iklan bapak presiden ARB.,8/3/2013 5:38,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","Jakarta, Indonesia",-1
1860489893,Politikhangat,"Disanjung jadi presiden, Hatta janji anti korupsi: Ketua umum Partai Amanat Nasional (PAN) Hatta Rajasa mendapat ",8/3/2013 6:18,Hatta,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",Indonesia,1
-753668320,YNGKR,"  ai Presiden Megawati, Joseph Stalin, Vladimir Lenin boga gelar sarjana kitu? *ups",8/3/2013 10:43,Megawati,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Bandung - Bukittinggi,0
-1795796480,AkuIndonesiaJB, kalo jadi presiden jokowi tetep jadi gubernur Jakarta ga?,8/3/2013 11:25,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta Barat,-1
1336629421,nundjannah,"Jangan plh capres arb dh ya. Bangun kampung halaman aja dya ga bsa, ngarep mau bangun Tanah Air",8/3/2013 12:17,Aburizal,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bandung,-1
-484614980,Sigitlutvi, om can bahas tentang om capres wiranto dong._.,8/3/2013 16:25,Wiranto,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,1
1417002969,UlanOktavia_,Ketua PAN : Hatta Tetap Capres  DAHLAN TOLOL,8/4/2013 4:40,Dahlan,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,1
