isi_tweet,sentimen
tidak setuju jokowi jadi cawapres capres jokowi harga mati,1
capres jokowi wacapres abraham samad gubernur ahok saya yakin koruptor abissss,1
capres prabowo dan cawapres jokowi dan gubdki ahok mantap lanjutkan buat pak presiden sby bubarkan saja fpi,1
jadi skenarionya gini 2014 biar prabowo jadi presiden jokowi tetepgubernur kalau jakarta berhasil tidak usah nunggu 2019 buat gantiin prabowo,1
sby mantan tni dan calon presiden prabowo subianto adalah mantan kopassus karena anggoto tni disiplin maka dari itu smw presiden tegas,1
mohon untuk pak presiden prabowo subiyanto tolong jangan jadikan kami perangkat desa sebagai tumbal kebijakan pemerintah,-1
saat jadi meneg bumn dahlan iskan bisa sedikit ambil bagian dalam kep strategis pln saat jadi presiden jokowi bisa juga melakukan hal yang sama untuk jakarta,1
5 jadi capres jokowi maupun dpd bisa menggunakan cara tersebut untuk mendapatkan fotocopy ktp dukungan,1
pagi pak capres cari lagi masalah hari ini dan tuntaskan segera di,1
setuju pak hanya capres jk terpilih harus tunduk pada keinginan rakyat bukan pada keinginan dpr ketum elit partai,0
bung saya dukung kamu jadi capres jokowi jadi wapresnya ya,1
prabowo dengan 6 program aksinya cukup bagus sebagai presiden jokowi jangan diganggu sebagai gubernur dki dki semrawut indonesia hanyut,1
tong di pilih jadi presiden arb na,1
prabowo subianto vs joko widodo no prabowo subianto presiden jokowi wapres yes aminin yaaaaa allah,1
dki ahok jateng ganjar jatim khofifah dan presiden jokowi kombinasi paten cc,1
gila ya presiden jokowi gubernur ahok gila ya indonesia baru beneran,1
dia kritik uu tenaga kerja yang batasi pesangon 9 thn masa kerja uu saat presiden megawati itu mas sebelumnya selama masa kerja,0
capres mahfud md wapres pramono ew cocok yang lainnya maaf tidak cocok,1
jokowi butuh dukungan rakyat rakyat butuh jokowi jadi presiden jokowi dan rakyat cinta tanah air,1
rp presiden jokowi carsen doang bsoknya jadi rp kpop juga dianya,-1
apa komposisi ini sudah bagus prabowo sebagai presiden jokowi wapres ahok menjadi gubernur dki,1
aamiin rais usul pasangan capres jokowi hatta ditolak sama ya ya emang tidak level di mata rakyat,-1
stkh pas capres jokowi hatta ditolak trus aamiin rais bilang jokowi harus setia pada sumpah jabatan gubernur dki untuk 5 tahun ke depan,-1
mantan wakil presiden jusuf kalla di,-1
prabowo presiden jokowi wakilnya mantep sangat,1
supir taxy blue bird bilang akan pilih prabowo klau jokowi tidak jadi calon presiden tetap pilihan rakyat,1
you are the next presiden prabowo subianto pemimpin yang murah senyum lemah lembut dan berani tegas dalam aturan dan keputusan donjon,1
merananya nasib korban lumpur lapindo saat berlebaran nanti tenang tuh di tvone dan antv byk iklan bapak presiden arb,-1
disanjung jadi presiden hatta janji anti korupsi ketua umum partai amanat nasional pan hatta rajasa mendapat,1
ai presiden megawati joseph stalin vladimir lenin boga gelar sarjana kitu ups,0
kalau jadi presiden jokowi tetep jadi gubernur jakarta tidak,-1
jangan pilih capres arb dh ya bangun kampung halaman saja dia tidak bisa ngarep mau bangun tanah air,-1
om can bahas tentang om capres wiranto dong _,1
ketua pan hatta tetap capres dahlan tolol,1
presiden jokowi kapolri ahok indonesia aman dan tentram,1
saya boleh bertnya tidak twitter presiden prabowo subianto apa yah,0
coba menghayal prabowo capres jokowi cawapres 2014 twitiseng,1
kebalik smua yang harus jadi capres arb hr dan yang lainnya wapres saja,1
kalau prabowo jadi presiden jokowi jadi wakil ahok jadi gubernur saya akan dukung sepenuh ya,1
terserah islam mau ngomong apa tapi kami suka lihat rakyat terlena tv dan pro capres jokowi maka gebernur baru dki ahok,1
capres arb cepet2 saja pemilu biar saya pilih arb sekolah 12th geratis dan apa lagi mencairkan dana gkn 2013 buat 39org kelompok saya love,1
hi mynameis bakrie capres arb no my first name tlong bwain minum pakai bakrie 50,-1
